W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120410
 ,W,Hoedt           ,SOU ,D,0.05 ,0.05 ,2.2,2.2 ,0.7 ,93 ,4.3  ,0.3 ,-500   ,-3 ,      
 ,W,Morgan          ,LEI ,D,0.13 ,0.04 ,2.6,2.2 ,4.3 ,67 ,4.5  ,0.9 ,2356   ,4  ,      
 ,V,Lindelöf        ,MUN ,D,0.02 ,0.04 ,2.1,2.2 ,2.7 ,78 ,4.8  ,0.9 ,-5956  ,-11,      
 ,B,Ecuele Manga    ,CAR ,D,0.02 ,0.02 ,2.1,2.1 ,2.0 ,100,4.4  ,0.1 ,-67    ,-1 ,      
 ,A,Young           ,MUN ,D,-0.02,0.02 ,1.9,2.1 ,2.0 ,71 ,5.7  ,1.2 ,-6777  ,-10,      
 ,D,Rice            ,WHU ,D,0.05 ,0.0  ,2.2,2.0 ,2.7 ,75 ,4.4  ,0.4 ,2405   ,10 ,      
 ,C,Taylor          ,BUR ,D,-0.07,-0.02,1.7,1.9 ,3.0 ,86 ,4.4  ,0.3 ,-787   ,-4 ,      
 ,M,Lowton          ,BUR ,D,-0.04,-0.04,1.8,1.8 ,2.7 ,86 ,4.7  ,0.3 ,-650   ,-4 ,      
 ,I,Diop            ,WHU ,D,0.02 ,-0.07,2.1,1.7 ,2.7 ,86 ,4.3  ,0.7 ,4448   ,11 ,      
 ,M,Le Marchand     ,FUL ,D,-0.19,-0.19,1.2,1.2 ,2.0 ,76 ,4.2  ,0.2 ,296    ,3  ,      
m,C,Chambers        ,FUL ,D,-0.29,-0.24,0.8,1.0 ,0.5 ,48 ,4.2  ,0.8 ,366    ,1  ,      
 ,D,Odoi            ,FUL ,D,-0.27,-0.27,0.8,0.8 ,1.0 ,82 ,4.4  ,0.1 ,-100   ,-2 ,      
