O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123122
 ,A,Robertson       ,LIV ,D,0.47 ,0.47 ,4.2,4.2 ,794 ,4.7  ,2.6 ,5122   ,      
 ,C,Kouyaté         ,WHU ,M,0.14 ,0.22 ,2.7,3.1 ,1186,5.0  ,0.3 ,5092   ,      
 ,D,Sánchez         ,TOT ,D,0.18 ,0.22 ,3.1,3.3 ,1132,6.0  ,0.5 ,4894   ,      
 ,C,Atsu            ,NEW ,M,0.31 ,0.44 ,3.5,4.1 ,1281,4.8  ,1.7 ,4708   ,      
 ,J,Speroni         ,CRY ,G,0.32 ,0.32 ,3.3,3.3 ,990 ,4.1  ,5.4 ,4386   ,      
 ,V,van Dijk        ,SOU ,D,0.02 ,0.04 ,2.1,2.2 ,993 ,5.4  ,2.2 ,3912   ,      
 ,A,Townsend        ,CRY ,M,0.21 ,0.23 ,3.2,3.3 ,1798,5.6  ,1.1 ,3730   ,      
 ,T,Carroll         ,SWA ,M,0.14 ,0.19 ,2.6,2.8 ,1613,4.3  ,4.7 ,3693   ,      
 ,P,Obiang          ,WHU ,M,0.09 ,0.18 ,2.4,2.8 ,1243,4.4  ,1.1 ,3564   ,      
 ,L,Shaw            ,MUN ,D,0.47 ,0.47 ,4.3,4.3 ,262 ,4.9  ,0.3 ,3485   ,      
 ,M,Kelly           ,CRY ,D,0.36 ,0.52 ,3.5,4.2 ,468 ,4.2  ,0.3 ,3226   ,      
 ,K,Schmeichel      ,LEI ,G,0.28 ,0.28 ,3.4,3.4 ,1890,5.0  ,4.0 ,3081   ,      
 ,P,Bardsley        ,BUR ,D,0.33 ,0.33 ,3.4,3.4 ,720 ,4.3  ,0.5 ,2899   ,      
 ,K,Walker          ,MCI ,D,0.38 ,0.42 ,4.5,4.8 ,1663,6.6  ,13.9,2718   ,      
 ,L,Milivojevic     ,CRY ,M,0.15 ,0.2  ,2.7,2.9 ,1549,4.6  ,0.5 ,2397   ,      
 ,A,Ayew            ,WHU ,M,0.12 ,0.19 ,2.8,3.3 ,854 ,6.8  ,1.0 ,2307   ,      
 ,M,Alonso          ,CHE ,D,0.49 ,0.49 ,5.5,5.5 ,1799,7.2  ,22.7,2184   ,      
 ,J,Collins         ,WHU ,D,0.47 ,0.47 ,4.0,4.0 ,417 ,4.3  ,0.2 ,1972   ,      
 ,S,Mané            ,LIV ,M,0.3  ,0.4  ,4.8,5.7 ,915 ,9.3  ,6.6 ,1924   ,      
 ,C,Martina         ,EVE ,D,0.23 ,0.27 ,3.0,3.2 ,1110,4.4  ,1.9 ,1850   ,      
 ,C,Clark           ,NEW ,D,0.3  ,0.32 ,3.3,3.4 ,1295,4.4  ,1.7 ,1843   ,      
 ,J,Allen           ,STK ,M,0.24 ,0.24 ,3.2,3.2 ,1692,5.1  ,1.6 ,1793   ,      
 ,R,Sobhi           ,STK ,M,0.11 ,0.16 ,2.5,2.7 ,855 ,4.5  ,0.6 ,1742   ,      
 ,J,Wilshere        ,ARS ,M,0.02 ,0.15 ,2.1,2.8 ,536 ,5.4  ,0.6 ,1619   ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.16 ,2.8,2.8 ,1882,4.9  ,4.1 ,1619   ,      
 ,C,Taylor          ,BUR ,D,0.14 ,0.24 ,2.6,3.0 ,409 ,4.2  ,0.3 ,1606   ,      
 ,J,Rodriguez       ,WBA ,F,0.09 ,0.13 ,2.5,2.7 ,1537,5.5  ,0.6 ,1584   ,      
 ,G,Bong            ,BHA ,D,0.3  ,0.3  ,3.3,3.3 ,900 ,4.4  ,0.1 ,1434   ,      
 ,T,Hemed           ,BHA ,F,0.15 ,0.46 ,2.7,4.2 ,775 ,4.8  ,1.3 ,1286   ,      
 ,K,Wimmer          ,STK ,D,-0.21,-0.17,1.1,1.3 ,1186,4.2  ,0.4 ,1256   ,      
 ,S,Arfield         ,BUR ,M,0.33 ,0.43 ,3.6,4.1 ,1090,4.9  ,0.4 ,1143   ,      
 ,C,Benteke         ,CRY ,F,0.01 ,0.03 ,2.1,2.2 ,1208,7.6  ,2.0 ,1105   ,      
 ,D,Drinkwater      ,CHE ,M,0.02 ,0.48 ,2.1,4.3 ,331 ,4.8  ,0.2 ,1091   ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1246,4.8  ,0.7 ,1086   ,      
 ,O,Oriol Romeu     ,SOU ,M,0.05 ,0.07 ,2.2,2.3 ,1619,4.3  ,2.3 ,984    ,      
 ,T,Fosu-Mensah     ,CRY ,D,-0.07,-0.05,1.7,1.8 ,960 ,4.4  ,0.7 ,923    ,      
 ,I,Gueye           ,EVE ,M,0.04 ,0.04 ,2.2,2.2 ,1669,4.8  ,0.8 ,879    ,      
 ,P,Pedro           ,CHE ,M,0.21 ,0.4  ,3.6,5.1 ,940 ,7.7  ,1.2 ,787    ,      
 ,M,Albrighton      ,LEI ,M,0.2  ,0.29 ,3.1,3.6 ,1477,5.5  ,2.0 ,770    ,      
 ,A,Chamberlain     ,LIV ,M,0.07 ,0.34 ,2.4,3.9 ,970 ,5.6  ,1.6 ,761    ,      
 ,I,Gündogan        ,MCI ,M,0.0  ,0.53 ,2.0,4.8 ,470 ,5.3  ,0.6 ,756    ,      
 ,W,Hoedt           ,SOU ,D,0.08 ,0.08 ,2.4,2.4 ,1080,5.0  ,0.1 ,666    ,      
 ,C,Fuchs           ,LEI ,D,0.15 ,0.19 ,2.7,2.9 ,1261,4.8  ,2.0 ,610    ,      
 ,K,Darlow          ,NEW ,G,0.27 ,0.27 ,3.2,3.2 ,450 ,4.4  ,0.2 ,604    ,      
 ,S,Boufal          ,SOU ,M,0.07 ,0.11 ,2.4,2.6 ,876 ,5.7  ,0.2 ,583    ,      
 ,J,Matip           ,LIV ,D,0.31 ,0.31 ,3.7,3.7 ,1350,5.4  ,1.9 ,570    ,      
 ,E,Mangala         ,MCI ,D,0.06 ,0.28 ,2.3,3.4 ,483 ,5.0  ,0.3 ,528    ,      
 ,M,Sissoko         ,TOT ,M,0.02 ,0.11 ,2.1,2.6 ,911 ,5.4  ,0.4 ,477    ,      
 ,J,Joselu          ,NEW ,F,0.13 ,0.18 ,2.7,3.0 ,1358,5.5  ,0.7 ,455    ,      
 ,G,Cameron         ,STK ,D,-0.12,-0.09,1.5,1.6 ,1028,4.3  ,0.3 ,446    ,      
 ,K,Gibbs           ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,1536,5.0  ,0.5 ,442    ,      
 ,A,Carrillo        ,WAT ,M,0.09 ,0.22 ,2.5,3.2 ,1152,5.5  ,0.0 ,430    ,      
 ,B,Bernardo Silva  ,MCI ,M,0.05 ,0.23 ,2.4,3.7 ,640 ,7.4  ,0.6 ,357    ,      
 ,A,Barnes          ,BUR ,F,-0.04,0.17 ,1.8,2.9 ,806 ,5.2  ,0.8 ,353    ,      
 ,J,Evans           ,WBA ,D,0.1  ,0.12 ,2.5,2.6 ,1561,4.9  ,0.9 ,353    ,      
 ,K,Zouma           ,STK ,D,0.09 ,0.09 ,2.5,2.5 ,1595,5.4  ,1.9 ,351    ,      
 ,L,Narsingh        ,SWA ,M,0.0  ,0.0  ,2.0,2.0 ,455 ,4.7  ,0.0 ,330    ,      
 ,D,Tadic           ,SOU ,M,0.22 ,0.22 ,3.4,3.4 ,1444,6.3  ,1.7 ,235    ,      
 ,A,Adam Smith      ,BOU ,D,-0.06,-0.02,1.7,1.9 ,1496,4.8  ,0.4 ,225    ,      
 ,S,Malone          ,HUD ,D,0.07 ,0.33 ,2.3,3.4 ,681 ,4.3  ,0.2 ,211    ,      
 ,L,Lewis Cook      ,BOU ,M,-0.05,0.02 ,1.8,2.1 ,823 ,4.3  ,0.9 ,199    ,      
 ,N,Dyer            ,SWA ,M,-0.05,-0.05,1.8,1.8 ,536 ,4.4  ,0.1 ,195    ,      
 ,D,Yedlin          ,NEW ,D,0.02 ,0.02 ,2.1,2.1 ,1445,4.4  ,0.7 ,141    ,      
 ,D,Zappacosta      ,CHE ,D,0.24 ,0.39 ,3.4,4.3 ,584 ,5.9  ,0.2 ,132    ,      
 ,S,Defour          ,BUR ,M,0.15 ,0.15 ,2.8,2.8 ,1728,5.4  ,0.4 ,108    ,      
 ,D,Pröpper         ,BHA ,M,0.13 ,0.13 ,2.7,2.7 ,1890,5.3  ,0.1 ,61     ,      
 ,H,Winks           ,TOT ,M,-0.02,0.19 ,1.9,2.9 ,768 ,4.8  ,0.2 ,55     ,      
 ,M,Suttner         ,BHA ,D,0.3  ,0.3  ,3.3,3.3 ,990 ,4.3  ,0.5 ,50     ,      
 ,V,Iborra          ,LEI ,M,0.1  ,0.14 ,2.6,2.8 ,1054,5.8  ,0.1 ,4      ,      
 ,R,van La Parra    ,HUD ,M,-0.02,0.04 ,1.9,2.2 ,1024,4.8  ,0.1 ,-12    ,      
 ,J,Livermore       ,WBA ,M,0.06 ,0.08 ,2.3,2.4 ,1668,4.8  ,0.1 ,-20    ,      
 ,I,Hayden          ,NEW ,M,-0.05,0.0  ,1.8,2.0 ,1181,4.4  ,0.2 ,-48    ,      
 ,M,Merino          ,NEW ,M,0.08 ,0.04 ,2.4,2.2 ,1137,5.0  ,0.1 ,-51    ,      
 ,M,Wagué           ,WAT ,D,0.67 ,1.11 ,5.0,7.0 ,198 ,4.5  ,0.1 ,-66    ,      
 ,L,Fer             ,SWA ,M,0.02 ,0.1  ,2.1,2.5 ,1179,5.2  ,0.2 ,-68    ,      
 ,M,Noble           ,WHU ,M,0.09 ,0.02 ,2.5,2.1 ,825 ,5.3  ,0.1 ,-69    ,      
 ,M,Lemina          ,SOU ,M,-0.02,0.04 ,1.9,2.2 ,1013,4.9  ,0.1 ,-69    ,      
 ,E,Kachunga        ,HUD ,M,0.1  ,0.09 ,2.6,2.5 ,1253,5.8  ,0.1 ,-72    ,      
 ,D,Gosling         ,BOU ,M,0.1  ,0.23 ,2.5,3.1 ,713 ,4.8  ,0.1 ,-96    ,      
 ,M,Phillips        ,WBA ,M,0.18 ,0.24 ,3.0,3.3 ,959 ,5.5  ,0.4 ,-96    ,      
 ,M,Schneiderlin    ,EVE ,M,-0.04,0.0  ,1.8,2.0 ,1223,4.7  ,0.5 ,-106   ,      
 ,J,Ibe             ,BOU ,M,0.0  ,-0.02,2.0,1.9 ,1116,4.8  ,0.3 ,-107   ,      
 ,A,Lennon          ,EVE ,M,0.04 ,0.17 ,2.2,2.9 ,727 ,5.4  ,0.1 ,-110   ,      
 ,M,Diamé           ,NEW ,M,-0.04,0.17 ,1.8,2.8 ,563 ,4.6  ,0.1 ,-114   ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,~~~~~,~~~,~~~~,~~~ ,~~~~~,~   ,-134.74,~~~~~~
 ,W,Ndidi           ,LEI ,M,0.08 ,0.08 ,2.4,2.4 ,1860,4.9  ,0.5 ,-153   ,      
 ,S,March           ,BHA ,M,0.04 ,0.18 ,2.2,2.9 ,1269,4.9  ,0.3 ,-154   ,      
 ,J,Ward            ,CRY ,D,-0.02,-0.02,1.9,1.9 ,1214,4.7  ,0.2 ,-167   ,      
 ,C,Brunt           ,WBA ,M,0.18 ,0.35 ,2.9,3.8 ,690 ,5.1  ,0.5 ,-175   ,      
 ,J,Hogg            ,HUD ,M,-0.07,0.0  ,1.7,2.0 ,1020,4.4  ,0.3 ,-184   ,      
 ,B,Sako            ,CRY ,M,-0.02,0.0  ,1.9,2.0 ,220 ,4.9  ,0.1 ,-201   ,      
 ,C,Dawson          ,WBA ,D,0.21 ,0.21 ,3.0,3.0 ,990 ,4.8  ,1.0 ,-210   ,      
 ,T,Davies          ,EVE ,M,-0.08,0.0  ,1.6,2.0 ,946 ,5.2  ,0.4 ,-220   ,      
 ,M,Olsson          ,SWA ,D,0.18 ,0.18 ,2.9,2.9 ,1706,5.0  ,0.3 ,-267   ,      
 ,J,Hendrick        ,BUR ,M,0.2  ,0.22 ,3.1,3.2 ,1404,5.4  ,0.2 ,-270   ,      
 ,Y,Cabaye          ,CRY ,M,0.09 ,0.11 ,2.5,2.6 ,1378,5.4  ,0.3 ,-275   ,      
 ,T,Smith           ,HUD ,D,0.08 ,0.06 ,2.4,2.3 ,1368,4.8  ,0.3 ,-288   ,      
 ,F,Lejeune         ,NEW ,D,-0.14,-0.11,1.4,1.5 ,1023,4.4  ,0.1 ,-291   ,      
 ,S,Francis         ,BOU ,D,-0.09,0.0  ,1.6,2.0 ,1432,4.3  ,0.9 ,-294   ,      
 ,J,Butland         ,STK ,G,0.14 ,0.14 ,2.7,2.7 ,1620,5.0  ,2.2 ,-321   ,      
 ,M,Antonio         ,WHU ,M,0.09 ,0.15 ,2.7,3.1 ,1061,7.4  ,0.2 ,-325   ,      
 ,A,Iwobi           ,ARS ,M,0.2  ,0.27 ,3.0,3.4 ,764 ,5.1  ,0.5 ,-380   ,      
 ,J,Gudmundsson     ,BUR ,M,0.16 ,0.18 ,2.8,2.9 ,1514,5.0  ,0.4 ,-390   ,      
 ,D,Fletcher        ,STK ,M,0.12 ,0.12 ,2.6,2.6 ,1795,4.9  ,0.5 ,-399   ,      
 ,O,Giroud          ,ARS ,F,0.05 ,0.0  ,2.4,2.0 ,360 ,8.2  ,1.0 ,-432   ,      
 ,A,Pérez           ,NEW ,F,0.0  ,0.12 ,2.0,2.6 ,1147,5.2  ,0.7 ,-447   ,      
 ,D,Gayle           ,NEW ,F,0.07 ,0.3  ,2.4,3.8 ,951 ,6.1  ,1.2 ,-469   ,      
 ,A,Knockaert       ,BHA ,M,0.11 ,0.2  ,2.6,3.1 ,1426,5.6  ,0.6 ,-480   ,      
 ,T,Ince            ,HUD ,M,0.15 ,0.15 ,2.8,2.8 ,1732,5.5  ,0.5 ,-483   ,      
 ,E,Pieters         ,STK ,D,-0.09,-0.09,1.6,1.6 ,1590,4.7  ,0.3 ,-483   ,      
 ,C,Wilson          ,BOU ,F,0.26 ,0.44 ,3.5,4.5 ,696 ,5.7  ,1.9 ,-521   ,      
 ,J,Defoe           ,BOU ,F,0.09 ,0.25 ,2.7,3.9 ,787 ,7.6  ,1.4 ,-531   ,      
 ,G,Barry           ,WBA ,M,0.09 ,0.07 ,2.4,2.3 ,1440,4.5  ,1.0 ,-582   ,      
 ,R,Brady           ,BUR ,M,0.31 ,0.35 ,3.7,3.9 ,1277,5.4  ,0.6 ,-602   ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1497,4.7  ,0.4 ,-606   ,      
 ,G,Wijnaldum       ,LIV ,M,0.1  ,0.15 ,2.7,3.0 ,1323,6.7  ,2.1 ,-667   ,      
 ,D,Stephens        ,BHA ,M,0.09 ,0.09 ,2.4,2.4 ,1890,4.5  ,1.4 ,-717   ,      
 ,N,Redmond         ,SOU ,M,0.05 ,0.08 ,2.3,2.5 ,1358,6.0  ,1.8 ,-732   ,      
 ,A,Sánchez         ,ARS ,M,0.28 ,0.32 ,5.3,5.8 ,1411,11.8 ,2.8 ,-754   ,      
 ,W,Bony            ,SWA ,F,0.11 ,0.35 ,2.6,4.0 ,650 ,5.7  ,0.2 ,-816   ,      
 ,T,Cleverley       ,WAT ,M,0.12 ,0.12 ,2.6,2.6 ,1766,5.0  ,0.7 ,-847   ,      
 ,M,Dembélé         ,TOT ,M,-0.06,0.02 ,1.7,2.1 ,877 ,4.9  ,1.5 ,-899   ,      
 ,A,Nyom            ,WBA ,D,0.15 ,0.19 ,2.7,2.9 ,1321,4.8  ,1.3 ,-911   ,      
 ,J,Holebas         ,WAT ,D,0.06 ,0.1  ,2.3,2.5 ,1211,4.9  ,0.5 ,-1100  ,      
 ,G,Cahill          ,CHE ,D,0.23 ,0.37 ,3.4,4.3 ,1134,6.2  ,3.1 ,-1148  ,      
 ,J,Henderson       ,LIV ,M,0.17 ,0.2  ,2.9,3.1 ,1272,5.4  ,1.2 ,-1181  ,      
 ,E,Can             ,LIV ,M,0.23 ,0.29 ,3.1,3.4 ,1265,4.8  ,4.0 ,-1244  ,      
 ,S,Mustafi         ,ARS ,D,0.61 ,0.8  ,5.3,6.3 ,959 ,5.4  ,3.1 ,-1324  ,      
 ,D,Janmaat         ,WAT ,D,0.08 ,0.0  ,2.4,2.0 ,675 ,4.8  ,0.3 ,-1362  ,      
 ,D,Lovren          ,LIV ,D,0.25 ,0.36 ,3.3,3.9 ,1205,5.3  ,1.2 ,-1413  ,      
 ,S,Mignolet        ,LIV ,G,0.33 ,0.33 ,3.6,3.6 ,1620,4.9  ,1.5 ,-1493  ,      
x,J,Lascelles       ,NEW ,D,0.35 ,0.35 ,3.6,3.6 ,1397,4.6  ,5.6 ,-1529  ,      
 ,P,Jagielka        ,EVE ,D,-0.02,0.02 ,1.9,2.1 ,1084,4.7  ,2.6 ,-1551  ,      
 ,A,Martial         ,MUN ,M,0.24 ,0.29 ,3.9,4.3 ,832 ,8.0  ,2.2 ,-1663  ,      
 ,J,King            ,BOU ,F,0.13 ,0.13 ,2.9,2.9 ,1465,7.0  ,1.2 ,-1686  ,      
 ,S,Mounie          ,HUD ,F,0.18 ,0.44 ,3.0,4.5 ,763 ,5.7  ,1.0 ,-1721  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,2.8,2.9 ,1099,5.7  ,3.2 ,-1776  ,      
 ,B,Chilwell        ,LEI ,D,0.02 ,0.09 ,2.1,2.4 ,840 ,4.3  ,0.5 ,-1817  ,      
 ,M,Keane           ,EVE ,D,0.06 ,0.08 ,2.3,2.4 ,1254,5.3  ,5.0 ,-1840  ,      
 ,R,Shawcross       ,STK ,D,0.06 ,0.08 ,2.3,2.4 ,1291,4.8  ,0.8 ,-1849  ,      
 ,A,Mawson          ,SWA ,D,0.2  ,0.2  ,3.0,3.0 ,1890,5.0  ,1.1 ,-1853  ,      
 ,D,Gray            ,LEI ,M,0.09 ,0.34 ,2.5,3.8 ,1040,5.3  ,1.2 ,-1877  ,      
 ,F,Fernández       ,SWA ,D,0.09 ,0.09 ,2.4,2.4 ,1440,4.5  ,1.7 ,-1892  ,      
 ,S,Steve Cook      ,BOU ,D,0.09 ,0.15 ,2.4,2.7 ,1333,4.7  ,1.3 ,-1994  ,      
 ,F,Fernandinho     ,MCI ,M,0.25 ,0.27 ,3.3,3.4 ,1741,5.1  ,6.2 ,-2149  ,      
 ,S,Rondón          ,WBA ,F,0.02 ,0.07 ,2.1,2.4 ,1290,6.0  ,0.6 ,-2160  ,      
 ,N,Kanté           ,CHE ,M,0.27 ,0.27 ,3.3,3.3 ,1554,4.9  ,12.0,-2223  ,      
 ,E,Choupo-Moting   ,STK ,M,0.37 ,0.46 ,4.0,4.5 ,1525,5.4  ,3.7 ,-2248  ,      
 ,J,Lingard         ,MUN ,M,0.43 ,0.72 ,4.6,6.4 ,831 ,6.1  ,10.4,-2357  ,      
 ,J,Mata            ,MUN ,M,0.34 ,0.44 ,4.3,5.0 ,1084,6.8  ,2.4 ,-2396  ,      
 ,G,Murray          ,BHA ,F,0.12 ,0.32 ,2.7,3.8 ,1053,5.7  ,2.1 ,-2418  ,      
 ,S,Dann            ,CRY ,D,-0.02,0.0  ,1.9,2.0 ,1434,4.7  ,0.6 ,-2439  ,      
 ,L,Koscielny       ,ARS ,D,0.37 ,0.37 ,4.2,4.2 ,1595,6.0  ,2.4 ,-2442  ,      
 ,J,Manquillo       ,NEW ,D,0.05 ,0.05 ,2.2,2.2 ,1530,4.4  ,1.1 ,-2482  ,      
 ,J,Pickford        ,EVE ,G,0.43 ,0.43 ,4.1,4.1 ,1890,4.9  ,8.0 ,-2603  ,      
 ,P,Crouch          ,STK ,F,0.14 ,0.2  ,2.7,3.0 ,753 ,4.9  ,3.4 ,-2792  ,      
 ,C,Wood            ,BUR ,F,0.21 ,0.25 ,3.3,3.6 ,1021,6.3  ,1.0 ,-3098  ,      
 ,A,Ramsey          ,ARS ,M,0.49 ,0.53 ,5.4,5.7 ,1196,7.0  ,2.6 ,-3223  ,      
 ,F,Delph           ,MCI ,M,0.18 ,0.11 ,2.8,2.5 ,1162,4.5  ,0.8 ,-3307  ,      
 ,B,Mee             ,BUR ,D,0.33 ,0.33 ,3.6,3.6 ,1710,4.9  ,15.4,-3314  ,      
 ,J,Hart            ,WHU ,G,0.28 ,0.28 ,3.2,3.2 ,1260,4.3  ,5.9 ,-3667  ,      
 ,A,Moreno          ,LIV ,D,0.39 ,0.39 ,3.7,3.7 ,1080,4.4  ,1.6 ,-3686  ,      
 ,C,Cédric          ,SOU ,D,0.11 ,0.13 ,2.5,2.6 ,1354,4.7  ,2.8 ,-3740  ,      
 ,A,Begovic         ,BOU ,G,0.27 ,0.27 ,3.2,3.2 ,1890,4.5  ,4.4 ,-3809  ,      
 ,N,Matic           ,MUN ,M,0.1  ,0.1  ,2.5,2.5 ,1853,4.8  ,9.0 ,-3826  ,      
 ,P,Cech            ,ARS ,G,0.33 ,0.33 ,3.8,3.8 ,1890,5.4  ,5.0 ,-3867  ,      
 ,M,Ritchie         ,NEW ,M,0.25 ,0.27 ,3.4,3.5 ,1643,5.5  ,2.2 ,-3890  ,      
 ,V,Moses           ,CHE ,D,0.3  ,0.42 ,3.9,4.7 ,1007,6.4  ,1.3 ,-3907  ,      
 ,S,Okazaki         ,LEI ,F,0.25 ,0.58 ,3.4,5.2 ,829 ,5.5  ,5.4 ,-4388  ,      
 ,J,Lössl           ,HUD ,G,0.43 ,0.43 ,4.0,4.0 ,1890,4.6  ,8.4 ,-4637  ,      
 ,J,Cork            ,BUR ,M,0.17 ,0.17 ,2.8,2.8 ,1890,4.6  ,3.6 ,-4964  ,      
 ,C,Löwe            ,HUD ,D,0.18 ,0.32 ,2.8,3.4 ,1159,4.4  ,2.3 ,-5079  ,      
