I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Rodriguez,WBA,F,0.12,8,3,2.7,264,88.0,5.9,1.9
G,Barry,WBA,M,0.11,5,2,2.5,180,90.0,4.5,1.7
M,Lemina,SOU,M,0.1,5,2,2.5,127,63.0,5.0,0.2
D,Stephens,BHA,M,0.07,7,3,2.3,270,90.0,4.5,0.6
S,March,BHA,M,0.06,7,3,2.3,256,85.0,5.0,0.1
P,Groß,BHA,M,0.06,7,3,2.3,241,80.0,5.4,0.5
T,Heaton,BUR,G,0.06,7,3,2.3,270,90.0,5.0,7.5
A,Gray,WAT,F,0.05,7,3,2.3,199,66.0,6.5,1.8
A,Rüdiger,CHE,D,0.05,7,3,2.3,270,90.0,6.0,2.2
N,Kanté,CHE,M,0.06,7,3,2.3,270,90.0,5.0,16.0
N,Chalobah,WAT,M,0.07,7,3,2.3,270,90.0,4.5,2.6
C,Fuchs,LEI,D,0.06,7,3,2.3,270,90.0,5.0,3.5
D,Simpson,LEI,D,0.07,7,3,2.3,270,90.0,4.5,4.9
W,Ndidi,LEI,M,0.06,7,3,2.3,270,90.0,5.0,0.5
D,Lovren,LIV,D,0.05,7,3,2.3,181,60.0,5.5,1.6
J,Henderson,LIV,M,0.05,7,3,2.3,270,90.0,5.5,1.7
D,Fletcher,STK,M,0.06,7,3,2.3,270,90.0,5.0,0.8
M,Dembélé,TOT,M,0.06,7,3,2.3,269,89.0,5.0,3.5
J,McClean,WBA,M,0.06,7,3,2.3,168,56.0,5.0,0.2
D,Pröpper,BHA,M,0.05,7,3,2.3,270,90.0,5.5,0.1
P,Cech,ARS,G,0.0,6,3,2.0,270,90.0,5.5,5.4
S,Mustafi,ARS,D,0.0,2,1,2.0,90,90.0,5.4,1.5
A,Sánchez,ARS,M,0.0,2,1,2.0,61,61.0,11.9,2.4
A,Chamberlain,LIV,M,0.0,6,3,2.0,241,80.0,6.0,3.4
S,Francis,BOU,D,0.0,2,1,2.0,79,79.0,4.4,1.5
A,Surman,BOU,M,0.0,6,3,2.0,270,90.0,4.5,0.9
D,Gosling,BOU,M,0.0,2,1,2.0,90,90.0,4.9,0.1
R,Fraser,BOU,M,0.0,4,2,2.0,167,83.0,5.4,1.0
J,King,BOU,F,0.0,6,3,2.0,270,90.0,7.4,3.1
L,Dunk,BHA,D,0.0,6,3,2.0,270,90.0,4.5,1.4
J,Hendrick,BUR,M,0.0,4,2,2.0,180,90.0,5.5,0.1
R,Loftus-Cheek,CRY,M,0.0,4,2,2.0,180,90.0,4.5,8.9
W,Zaha,CRY,M,0.0,2,1,2.0,90,90.0,6.9,4.8
I,Gueye,EVE,M,0.0,6,3,2.0,270,90.0,5.0,1.3
S,Sandro,EVE,F,0.0,4,2,2.0,138,69.0,7.4,0.7
O,Oriol Romeu,SOU,M,0.0,6,3,2.0,270,90.0,4.5,4.0
B,Bojan,STK,M,0.0,2,1,2.0,71,71.0,5.5,0.1
M,Diouf,STK,F,0.0,4,2,2.0,180,90.0,5.4,0.3
R,Mesa,SWA,M,0.0,2,1,2.0,66,66.0,4.5,0.5
K,Walker,MCI,D,0.0,4,2,2.0,133,66.0,6.5,12.6
E,Dier,TOT,M,0.0,6,3,2.0,247,82.0,5.0,3.7
N,Amrabat,WAT,M,0.0,6,3,2.0,198,66.0,5.0,0.1
A,Ayew,WHU,M,0.0,6,3,2.0,226,75.0,7.0,1.6
M,Noble,WHU,M,0.0,6,3,2.0,220,73.0,5.5,0.3
M,James,LEI,M,0.0,6,3,2.0,261,87.0,4.5,0.5
I,Hayden,NEW,M,0.0,6,3,2.0,246,82.0,4.5,0.3
E,Choupo-Moting,STK,M,0.0,6,3,2.0,198,66.0,5.5,0.2
M,Özil,ARS,M,-0.03,5,3,1.7,270,90.0,9.5,2.3
J,Murphy,BHA,M,-0.06,5,3,1.7,157,52.0,5.0,0.1
J,Tarkowski,BUR,D,-0.07,5,3,1.7,270,90.0,4.5,0.1
J,Gudmundsson,BUR,M,-0.06,5,3,1.7,208,69.0,5.0,0.1
A,Townsend,CRY,M,-0.05,5,3,1.7,225,75.0,5.9,1.7
W,Morgan,LEI,D,-0.07,5,3,1.7,270,90.0,4.5,2.9
J,Allen,STK,M,-0.06,5,3,1.7,270,90.0,5.4,3.2
X,Shaqiri,STK,M,-0.05,5,3,1.7,204,68.0,5.9,2.3
M,Merino,NEW,M,-0.06,5,3,1.7,194,64.0,5.0,0.1
J,McArthur,CRY,M,-0.11,3,2,1.5,107,53.0,4.5,3.4
M,Holgate,EVE,D,-0.11,3,2,1.5,180,90.0,4.4,1.2
D,Gayle,NEW,F,-0.08,3,2,1.5,126,63.0,6.4,1.3
G,Sigurdsson,EVE,M,-0.06,3,2,1.5,119,59.0,8.4,5.1
K,Trippier,TOT,D,-0.09,3,2,1.5,180,90.0,5.4,2.6
C,Yacob,WBA,M,-0.11,3,2,1.5,110,55.0,4.5,0.3
P,Obiang,WHU,M,-0.11,3,2,1.5,104,52.0,4.5,0.8
T,Bakayoko,CHE,M,-0.1,3,2,1.5,105,52.0,5.0,0.6
N,Aké,BOU,D,-0.14,4,3,1.3,270,90.0,5.0,6.0
H,Arter,BOU,M,-0.14,4,3,1.3,270,90.0,5.0,0.7
T,Hemed,BHA,F,-0.14,4,3,1.3,173,57.0,4.9,0.2
B,Mee,BUR,D,-0.16,4,3,1.3,270,90.0,4.5,8.3
S,Dann,CRY,D,-0.14,4,3,1.3,270,90.0,4.9,0.9
L,Milivojevic,CRY,M,-0.14,4,3,1.3,178,59.0,4.9,0.8
C,Benteke,CRY,F,-0.09,4,3,1.3,270,90.0,7.9,5.5
T,Fosu-Mensah,CRY,D,-0.16,4,3,1.3,257,85.0,4.5,1.8
H,Kane,TOT,F,-0.06,4,3,1.3,270,90.0,12.4,26.8
A,Christensen,CHE,D,-0.13,4,3,1.3,164,54.0,5.5,0.2
H,Bellerín,ARS,D,-0.17,3,3,1.0,270,90.0,6.0,11.1
N,Monreal,ARS,D,-0.19,3,3,1.0,270,90.0,5.4,3.7
J,Ibe,BOU,M,-0.2,2,2,1.0,104,52.0,4.9,0.4
S,Arfield,BUR,M,-0.2,2,2,1.0,105,52.0,4.9,0.1
P,van Aanholt,CRY,D,-0.19,3,3,1.0,218,72.0,5.4,2.8
J,Puncheon,CRY,M,-0.2,3,3,1.0,253,84.0,4.9,1.0
M,Schneiderlin,EVE,M,-0.2,2,2,1.0,177,88.0,5.0,0.9
Y,Kaboul,WAT,D,-0.22,1,1,1.0,90,90.0,4.5,0.3
J,Fonte,WHU,D,-0.2,1,1,1.0,90,90.0,4.9,1.6
J,Collins,WHU,D,-0.22,1,1,1.0,90,90.0,4.5,0.3
A,Masuaku,WHU,D,-0.22,1,1,1.0,80,80.0,4.5,0.2
E,Fernandes,WHU,M,-0.22,3,3,1.0,171,57.0,4.5,0.3
J,Hart,WHU,G,-0.22,3,3,1.0,270,90.0,4.5,10.6
J,Riedewald,CRY,D,-0.2,1,1,1.0,90,90.0,4.9,0.2
B,Mendy,MCI,D,-0.15,1,1,1.0,90,90.0,6.5,0.5
S,Steve Cook,BOU,D,-0.27,2,3,0.7,270,90.0,4.9,0.6
A,Adam Smith,BOU,D,-0.27,2,3,0.7,190,63.0,4.9,0.8
B,Bruno,BHA,D,-0.29,2,3,0.7,225,75.0,4.5,0.2
A,Cresswell,WHU,D,-0.26,2,3,0.7,189,63.0,5.0,0.6
J,Ward,CRY,D,-0.35,1,3,0.3,270,90.0,4.9,0.4
A,Ogbonna,WHU,D,-0.38,1,3,0.3,270,90.0,4.5,1.0
